product_name,product_URL,date_scrape,subcategory
Crema Lubriderm Reparación Intensiva x120ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/c2a17553-9fb6-ed11-a8de-6045bd33e08b,2025-03-11,Cuidado Corporal
Loción Refrescante Menticol Fresh x60ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/e0b9a21a-acb1-4ecc-ae4f-dd75a4c7a66d,2025-03-11,Cuidado Corporal
Loción Refrescante Menticol Original x60ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/bc0f9818-3ded-4f14-968f-0caac1859743,2025-03-11,Cuidado Corporal
Desodorante Rexona Clinical Clean x48gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/3e1a6c9a-f46d-ee11-b004-6045bddad585,2025-03-11,Cuidado Corporal
Desodorante Rexona Clinical Classic Mujer Tubo x48gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/78d78088-f46d-ee11-b004-6045bddad585,2025-03-11,Cuidado Corporal
Desodorantee Rexona Aerosol Clincial Clean Expert x91gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/7658847c-f46d-ee11-b004-6045bddad585,2025-03-11,Cuidado Corporal
Protector Solar Sundown FPS-70 x12Un x8gr,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/f56f4723-bc4e-ec11-981f-0004ffd3426d,2025-03-11,Cuidado Corporal
Desodorante Lady Speed Stick Pro-5 Roll On 50ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/d6358cd7-ef6b-ea11-a94c-0004ffd34543,2025-03-11,Cuidado Corporal
Protector Solar Facial y Corporal Sun Pro Sachet x12Un x10ml,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/25035bc6-5a38-41e6-9b6d-693b92f2e1e1,2025-03-11,Cuidado Corporal
Encendedor BIC Mini J5 x25Un,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/109bcfa5-4c37-eb11-9fb4-000d3a9112b0,2025-03-11,
1Un Bombillo Led TForce Core HB 50W,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/d9d0687f-212d-48a0-bf11-0a8bcf0df348,2025-03-11,Hogar
Encendedor BIC Mini J5 x15Un,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/472430ab-4d37-eb11-9fb4-000d3a9112b0,2025-03-11,
Encendedor BIC Slim J3 x12Un,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/ae360532-4f26-ec11-981f-501ac5124e32,2025-03-11,
Encendedor BIC Maxi J6 x12Un,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/782fc833-4d37-eb11-9fb4-000d3a9112b0,2025-03-11,
Bombillo Led TForce Core HB 50W E27 865 WV G3,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/7eff5aa3-67f2-ec11-a1f9-002248454bd2,2025-03-11,Hogar
Panel Led Philips 24W 11`` Sobreponer Luz Blanca,https://tienda.surtiapp.com.co/WithoutLoginB2B/Store/ProductDetail/7d7dfa98-f76e-468b-9803-e9762a3615d7,2025-03-11,Hogar
